NAME,LAT,LNG,COUNTRY,URL
Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
Sepang International Circuit,2.76083,101.738,Malaysia,http://en.wikipedia.org/wiki/Sepang_International_Circuit
Bahrain International Circuit,26.0325,50.5106,Bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
Circuit de Barcelona-Catalunya,41.57,2.26111,Spain,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
Istanbul Park,40.9517,29.405,Turkey,http://en.wikipedia.org/wiki/Istanbul_Park
Circuit de Monaco,43.7347,7.42056,Monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco
Circuit Gilles Villeneuve,45.5,-73.5228,Canada,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
Circuit de Nevers Magny-Cours,46.8642,3.16361,France,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
Silverstone Circuit,52.0786,-1.01694,UK,http://en.wikipedia.org/wiki/Silverstone_Circuit
Hockenheimring,49.3278,8.56583,Germany,http://en.wikipedia.org/wiki/Hockenheimring
Hungaroring,47.5789,19.2486,Hungary,http://en.wikipedia.org/wiki/Hungaroring
Valencia Street Circuit,39.4589,-0.331667,Spain,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
Circuit de Spa-Francorchamps,50.4372,5.97139,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
Autodromo Nazionale di Monza,45.6156,9.28111,Italy,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
Marina Bay Street Circuit,1.2914,103.864,Singapore,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
Fuji Speedway,35.3717,138.927,Japan,http://en.wikipedia.org/wiki/Fuji_Speedway
Shanghai International Circuit,31.3389,121.22,China,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
Autódromo José Carlos Pace,-23.7036,-46.6997,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
Indianapolis Motor Speedway,39.795,-86.2347,USA,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
Nürburgring,50.3356,6.9475,Germany,http://en.wikipedia.org/wiki/N%C3%BCrburgring
Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
Suzuka Circuit,34.8431,136.541,Japan,http://en.wikipedia.org/wiki/Suzuka_Circuit
A1-Ring,47.2197,14.7647,Austria,http://en.wikipedia.org/wiki/A1-Ring
Yas Marina Circuit,24.4672,54.6031,UAE,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Argentina,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
Circuito de Jerez,36.7083,-6.03417,Spain,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
Autódromo do Estoril,38.7506,-9.39417,Portugal,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
Okayama International Circuit,34.915,134.221,Japan,http://en.wikipedia.org/wiki/TI_Circuit
Adelaide Street Circuit,-34.9272,138.617,Australia,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
Kyalami,-25.9894,28.0767,South Africa,http://en.wikipedia.org/wiki/Kyalami
Donington Park,52.8306,-1.37528,UK,http://en.wikipedia.org/wiki/Donington_Park
Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
Phoenix street circuit,33.4479,-112.075,USA,http://en.wikipedia.org/wiki/Phoenix_street_circuit
Circuit Paul Ricard,43.2506,5.79167,France,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
Korean International Circuit,34.7333,126.417,Korea,http://en.wikipedia.org/wiki/Korean_International_Circuit
Autódromo Internacional Nelson Piquet,-22.9756,-43.395,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
Detroit Street Circuit,42.3298,-83.0401,USA,http://en.wikipedia.org/wiki/Detroit_street_circuit
Brands Hatch,51.3569,0.263056,UK,http://en.wikipedia.org/wiki/Brands_Hatch
Circuit Park Zandvoort,52.3888,4.54092,Netherlands,http://en.wikipedia.org/wiki/Circuit_Zandvoort
Zolder,50.9894,5.25694,Belgium,http://en.wikipedia.org/wiki/Zolder
Dijon-Prenois,47.3625,4.89913,France,http://en.wikipedia.org/wiki/Dijon-Prenois
Fair Park,32.7774,-96.7587,USA,http://en.wikipedia.org/wiki/Fair_Park
Jarama,40.6171,-3.58558,Spain,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
Watkins Glen,42.3369,-76.9272,USA,http://en.wikipedia.org/wiki/Watkins_Glen_International
Scandinavian Raceway,57.2653,13.6042,Sweden,http://en.wikipedia.org/wiki/Scandinavian_Raceway
Mosport International Raceway,44.0481,-78.6756,Canada,http://en.wikipedia.org/wiki/Mosport
Montjuïc,41.3664,2.15167,Spain,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
Nivelles-Baulers,50.6211,4.32694,Belgium,http://en.wikipedia.org/wiki/Nivelles-Baulers
Charade Circuit,45.7472,3.03889,France,http://en.wikipedia.org/wiki/Charade_Circuit
Circuit Mont-Tremblant,46.1877,-74.6099,Canada,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
Rouen-Les-Essarts,49.3306,1.00458,France,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
Le Mans,47.95,0.224231,France,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
Reims-Gueux,49.2542,3.93083,France,http://en.wikipedia.org/wiki/Reims-Gueux
Prince George Circuit,-33.0486,27.8736,South Africa,http://en.wikipedia.org/wiki/Prince_George_Circuit
Zeltweg,47.2039,14.7478,Austria,http://en.wikipedia.org/wiki/Zeltweg_Airfield
Aintree,53.4769,-2.94056,UK,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
Circuito da Boavista,41.1705,-8.67325,Portugal,http://en.wikipedia.org/wiki/Circuito_da_Boavista
Riverside International Raceway,33.937,-117.273,USA,http://en.wikipedia.org/wiki/Riverside_International_Raceway
AVUS,52.4806,13.2514,Germany,http://en.wikipedia.org/wiki/AVUS
Monsanto Park Circuit,38.7197,-9.20306,Portugal,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
Sebring International Raceway,27.4547,-81.3483,USA,http://en.wikipedia.org/wiki/Sebring_Raceway
Ain Diab,33.5786,-7.6875,Morocco,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
Pescara Circuit,42.475,14.1508,Italy,http://en.wikipedia.org/wiki/Pescara_Circuit
Circuit Bremgarten,46.9589,7.40194,Switzerland,http://en.wikipedia.org/wiki/Circuit_Bremgarten
Circuit de Pedralbes,41.3903,2.11667,Spain,http://en.wikipedia.org/wiki/Pedralbes_Circuit
Buddh International Circuit,28.3487,77.5331,India,http://en.wikipedia.org/wiki/Buddh_International_Circuit
Circuit of the Americas,30.1328,-97.6411,USA,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
Red Bull Ring,47.2197,14.7647,Austria,http://en.wikipedia.org/wiki/Red_Bull_Ring
Sochi Autodrom,43.4057,39.9578,Russia,http://en.wikipedia.org/wiki/Sochi_Autodrom
Port Imperial Street Circuit,40.7769,-74.0111,USA,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
Baku City Circuit,40.3725,49.8533,Azerbaijan,http://en.wikipedia.org/wiki/Baku_City_Circuit
Hanoi Street Circuit,21.0166,105.766,Vietnam,http://en.wikipedia.org/wiki/Hanoi_Street_Circuit
Autódromo Internacional do Algarve,37.227,-8.6267,Portugal,http://en.wikipedia.org/wiki/Algarve_International_Circuit
Autodromo Internazionale del Mugello,43.9975,11.3719,Italy,http://en.wikipedia.org/wiki/Mugello_Circuit
Jeddah Street Circuit,21.5433,39.1728,Saudi Arabia,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
Losail International Circuit,25.49,51.4542,Qatar,http://en.wikipedia.org/wiki/Losail_International_Circuit
Miami International Autodrome,25.9581,-80.2389,United States,https://en.wikipedia.org/wiki/Miami_International_Autodrome
